url,product_name,current_price,original_price,discount,rating,review_count,colors,sizes,description,features,image_urls
https://www.jcpenney.com/p/alfred-dunner-crowd-pleaser-womens-u-neck-3-4-sleeve-t-shirt/ppr5008595593?pTmplType=regular&searchTerm=tshirt,Alfred Dunner Crowd Pleaser Womens U Neck 3/4 Sleeve T-Shirt,44.62,59.5,25%,,,Black/white,"petite medium , large , petite small , petite large , x-large , small , petite x-large , medium","Put your best foot forward on the style front wearing this elegant Alfred Dunner women's t-shirt. Featuring a grid design with multiple prints, this unique top has a crew neck, a removable beaded necklace for added glamour and 3/4 sleeves. Wear it with capris or jeans.","Closure Type: Pullover Head | Fit: Regular Fit | Neckline: U Neck | Sleeve Length: 3/4 Sleeve | Apparel Length: 24.5 Inches | Fiber Content: 95% Polyester, 5% Spandex | Care: Machine Wash, Tumble Dry | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0313202613150317M | https://jcpenney.scene7.com/is/image/JCPenney/DP0313202613150212M | https://jcpenney.scene7.com/is/image/JCPenney/DP0313202613150106M
https://www.jcpenney.com/p/ana-womens-tall-crew-neck-short-sleeve-t-shirt/ppr5008610173?pTmplType=regular&searchTerm=tshirt,a.n.a Womens Tall Crew Neck Short Sleeve T-Shirt,7.99,20.0,60.0,,,"Faded Denim , Burlwood , Rose Smoke , Black , White , Cortez Red , Dusky Green , Sea Mint","medium tall , large tall , small tall , xx-large tall , x-large tall","This a.n.a women's tall t-shirt is an everyday wardrobe classic made from 100% cotton. It has a crew neck and short sleeves, as well as a relaxed-fit for added comfort. Wear it with shorts or skinny jeans.","Features: Essentials | Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Sleeve Style: Drop-Shoulder Sleeve | Apparel Length: 26.25 Inches | Fiber Content: 100% Cotton | Fabric Description: Jersey | Care: Tumble Dry, Machine Wash | Material: Cotton | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP1106202509005581M | https://jcpenney.scene7.com/is/image/JCPenney/DP1106202509005999M | https://jcpenney.scene7.com/is/image/JCPenney/DP1106202509005791M
https://www.jcpenney.com/p/alfred-dunner-womens-split-crew-neck-3-4-sleeve-t-shirt/ppr5008594438?pTmplType=regular&searchTerm=tshirt,Alfred Dunner Womens Split Crew Neck 3/4 Sleeve T-Shirt,44.62,59.5,25%,,,Pink Multi,"petite medium , large , petite small , petite large , x-large , small , petite x-large , medium","This Alfred Dunner women's t-shirt is a bright stylish winner for warmer days. Made from a cotton blend in an eye-catching pink tone, this peasant inspired tee has contrast embroidered stitching in an intricate pattern along the split crew neckline, which comes embellished with beads, plus 3/4 sleeves. Wear it with capri pants or jeans.","Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Split Crew Neck | Sleeve Length: 3/4 Sleeve | Apparel Length: 24.5 Inches | Fiber Content: 60% Cotton, 40% Polyester | Care: Machine Wash, Tumble Dry | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0130202607173177M | https://jcpenney.scene7.com/is/image/JCPenney/DP0130202607173386M | https://jcpenney.scene7.com/is/image/JCPenney/DP0130202607173072M | https://jcpenney.scene7.com/is/image/JCPenney/DP0130202607173281M
https://www.jcpenney.com/p/liz-claiborne-womens-plus-boat-neck-short-sleeve-t-shirt/ppr5008671363?pTmplType=regular&searchTerm=tshirt,Liz Claiborne Womens Plus Boat Neck Short Sleeve T-Shirt,17.99,38.0,52.0,5.0,2,"Oatmeal Heather , Cab Red , Blue Yonder , Stone Heather , Seagreen","4x , 3x , 5x , 0x , 2x , 1x","The Liz Claiborne women’s plus t‑shirt offers a clean, easygoing essential designed for everyday comfort. Styled with a boat neckline, short, fitted sleeves, and a relaxed silhouette, it provides a simple, versatile option that works well on its own or layered into casual looks.","Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Boat Neck | Sleeve Length: Short Sleeve | Sleeve Style: Fitted Sleeve | Apparel Length: 26.5 Inches | Fiber Content: 58% Cotton, 39% Polyester, 3% Spandex | Fabric Description: Rib | Care: Tumble Dry, Machine Wash | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP1222202509140262M | https://jcpenney.scene7.com/is/image/JCPenney/DP1222202509140366M | https://jcpenney.scene7.com/is/image/JCPenney/DP1222202509140469M
https://www.jcpenney.com/p/nike-club-embroidered-logo-mens-crew-neck-short-sleeve-active-big-and-tall-t-shirt/ppr5008516548?pTmplType=regular&searchTerm=tshirt,Nike Club Embroidered Logo Mens Crew Neck Short Sleeve Active Big and Tall T-Shirt,25.6,32.0,20.0,3.5647,85,"Lt Khaki , Black , Dk Grey Htr , Barely Green , Ghost , Tattoo , Hydrogen Blue , Midnight Navy","medium tall , large tall , 2x-large tall , 4x-large tall , 3x-large tall , 4x-large , x-large tall , 3x-large",The Nike Sportswear Club T-Shirt is made with our everyday cotton fabric and a classic fit for a familiar feel right out of the bag. An embroidered Futura logo on the chest provides a signature Nike look.  The classic fit tee silhouette is relaxed through the body and hips.  Everyday cotton fabric feels soft and lightweight.,"Features: Embroidered | Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Apparel Length: 29 Inches | Fiber Content: 100% Cotton | Fabric Description: Jersey | Care: Tumble Dry, Machine Wash | Material: Cotton | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0610202507344621M | https://jcpenney.scene7.com/is/image/JCPenney/DP0610202507345039M | https://jcpenney.scene7.com/is/image/JCPenney/DP0610202507345457M
https://www.jcpenney.com/p/thereabouts-little-big-kid-girls-crew-neck-short-sleeve-classic-fit-graphic-t-shirt/ppr5008640487?pTmplType=regular&searchTerm=tshirt,Thereabouts Little & Big Kid Girls Crew Neck Short Sleeve Classic Fit Graphic T-Shirt,6.99,12.0,41.0,4.6733,101,"Sail Cat , Crema Sardines , Pearl Pink , Pink Aloha , Beads , Black Postage , Purple Raspberry , Root Beer , Blue Ocean Heart , Ice Cream , Purple Sun Daze , Blue Gulls","3x-large (22.5) plus , x-large (18.5) plus , x-small (6-6x) , large (14) , small (7-8) , large (14.5/16.5) plus , xx-small (4-5) , x-large (16) , medium (10-12) , 2x-large (20.5) plus","Add fun to everyday outfits with this Thereabouts little and big girls' graphic t-shirt, made from soft recycled cotton-jersey. Designed with a crew neck and short sleeves, this tee offers a comfortable classic fit, while the adorable dog graphic adds personality. Wear it with pants or jeans.","Features: Tag Free | Closure Type: Pullover Head | Fit: Classic Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Apparel Length: 22 Inches | Fiber Content: 60% Cotton, 40% Repreve Recycled Polyester | Fabric Description: Jersey | Care: Machine Wash, Tumble Dry | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0422202607185945M | https://jcpenney.scene7.com/is/image/JCPenney/DP0113202607062369M | https://jcpenney.scene7.com/is/image/JCPenney/DP0909202511010375M | https://jcpenney.scene7.com/is/image/JCPenney/DP0909202511010270M | https://jcpenney.scene7.com/is/image/JCPenney/DP1205202507154840M
https://www.jcpenney.com/p/nike-womens-crew-neck-short-sleeve-active-t-shirt/ppr5008656941?pTmplType=regular&searchTerm=tshirt,Nike Womens Crew Neck Short Sleeve Active T-Shirt,11.99,30.0,60.0,3.0,2,"Rose Gold White , Green Abyss White , Med Soft Pink Whi , Pale Ivory Black , Playful Pink , Cannon White","large , xx-large , x-large , small , medium","This women’s active t-shirt from Nike keeps performance effortless with a crew neckline and short sleeves. Made from soft, breathable fabric, this pullover tee can be paired with high-rise leggings or layered under a hoodie post-gym.","Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Fiber Content: 100% Cotton | Fabric Description: Cotton/Polyester | Lining Material: Cotton | Care: Machine Wash, Tumble Dry | Material: Cotton | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0614202509060493M | https://jcpenney.scene7.com/is/image/JCPenney/DP0614202509060388M | https://jcpenney.scene7.com/is/image/JCPenney/DP0502202511210319M | https://jcpenney.scene7.com/is/image/JCPenney/DP0614202509060285M | https://jcpenney.scene7.com/is/image/JCPenney/DP0614202509060181M | https://jcpenney.scene7.com/is/image/JCPenney/DP0502202511210113M | https://jcpenney.scene7.com/is/image/JCPenney/DP0614202509060598M
https://www.jcpenney.com/p/ana-womens-henley-neck-long-sleeve-t-shirt/ppr5008506239?pTmplType=regular&searchTerm=tshirt,a.n.a Womens Henley Neck Long Sleeve T-Shirt,6.39,32.0,80.0,4.3462,26,"Birch , Brownie , Black , Pine Green , Crm Blk Stripe , New Orleans Red","petite xx-large , large , xx-large , petite large , x-large , petite x-large","This a.n.a women's long-sleeve t-shirt is a comfy, stretchy go-to for everyday wear. Made from ribbed fabric for a regular-fit, it features a classic henley button neckline. Pair with jeans and sneakers for an easy weekend look.","Fit: Regular Fit | Neckline: Henley Neck | Sleeve Length: Long Sleeve | Apparel Length: 25 Inches | Fiber Content: 62% Polyester, 34% Rayon, 4% Spandex | Fabric Description: Rib | Care: Machine Wash, Tumble Dry | Material: Fabric | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0530202511081882M | https://jcpenney.scene7.com/is/image/JCPenney/DP0530202511082091M | https://jcpenney.scene7.com/is/image/JCPenney/DP0530202511081673M
https://www.jcpenney.com/p/alfred-dunner-austin-womens-round-neck-3-4-sleeve-t-shirt/ppr5008551091?pTmplType=regular&searchTerm=tshirt,Alfred Dunner Austin Womens Round Neck 3/4 Sleeve T-Shirt,44.62,59.5,25%,,,Azalea,"petite medium , large , petite small , petite large , x-large , small , petite x-large , medium","This Alfred Dunner women's Austin t-shirt features a vibrant painterly flower design for chic everyday styling. Made from soft stretch-knit, it has a scalloped neckline with cut-outs and rhinestone embellishments, plus 3/4 sleeves. Style it with jeans or pants.","Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Round Neck | Sleeve Length: 3/4 Sleeve | Apparel Length: 24.5 Inches | Fiber Content: 95% Cotton, 5% Spandex | Fabric Description: Knit | Care: Tumble Dry, Machine Wash | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP1217202509084383M | https://jcpenney.scene7.com/is/image/JCPenney/DP1217202509084072M | https://jcpenney.scene7.com/is/image/JCPenney/DP1217202509083969M | https://jcpenney.scene7.com/is/image/JCPenney/DP1217202509084176M
https://www.jcpenney.com/p/arizona-womens-juniors-crew-neck-short-sleeve-oversized-graphic-t-shirt/ppr5008584821?pTmplType=regular&searchTerm=tshirt,Arizona Womens Juniors Crew Neck Short Sleeve Oversized Graphic T-Shirt,15.99,24.0,33.0,5.0,4,"Geranium Malibu , Slr Blue Boathouse , Lemon Strawberry , Jade Berries , Blue New England , Pink Collage , Gray Rockport , Red 92","large , x-small , xx-large , xx-small , x-large , small , medium , 3x-large","This oversized graphic t-shirt from the Arizona women's and junior's collection is ideal for cozy, comfortable lounging at home or weekend hangs. Made from soft cotton-jersey, it has a crew neck and short sleeves. Wear it with leggings or jeans.","Closure Type: Pullover Head | Fit: Oversized Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Apparel Length: 28.5 Inches | Fiber Content: 100% Cotton | Fabric Description: Jersey | Care: Tumble Dry, Machine Wash | Material: Cotton | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP1103202511053987M | https://jcpenney.scene7.com/is/image/JCPenney/DP1103202511053882M | https://jcpenney.scene7.com/is/image/JCPenney/DP1103202511053777M
